#SIZE,HapMap-B17-1267
23,1
25,2
28,4
30,7
32,2
34,1
39,4
40,1
47,1
49,1
52,1
53,3
54,3
55,1
56,2
57,1
58,4
59,4
60,2
61,3
62,7
63,5
64,5
65,4
66,10
67,10
68,8
69,6
70,7
71,2
72,11
73,7
74,10
75,10
76,15
77,8
78,15
79,13
80,14
81,8
82,17
83,15
84,16
85,13
86,17
87,12
88,17
89,20
90,16
91,14
92,21
93,19
94,17
95,24
96,23
97,21
98,12
99,19
100,16
101,33
102,21
103,14
104,20
105,14
106,18
107,24
108,21
109,27
110,25
111,29
112,26
113,26
114,28
115,31
116,31
117,29
118,34
119,27
120,34
121,25
122,35
123,39
124,32
125,23
126,30
127,28
128,35
129,39
130,33
131,32
132,23
133,20
134,38
135,31
136,26
137,35
138,24
139,30
140,21
141,32
142,32
143,33
144,29
145,27
146,31
147,27
148,32
149,26
150,49
151,23
152,29
153,38
154,32
155,35
156,29
157,35
158,24
159,33
160,30
161,32
162,30
163,37
164,24
165,31
166,28
167,31
168,35
169,31
170,33
171,30
172,28
173,27
174,32
175,39
176,32
177,34
178,32
179,34
180,28
181,25
182,31
183,33
184,31
185,27
186,27
187,30
188,26
189,32
190,26
191,29
192,24
193,19
194,28
195,31
196,30
197,26
198,35
199,30
200,23
201,28
202,20
203,24
204,25
205,35
206,23
207,27
208,26
209,32
210,35
211,22
212,22
213,26
214,28
215,26
216,14
217,21
218,25
219,17
220,26
221,20
222,22
223,24
224,26
225,24
226,30
227,26
228,15
229,20
230,23
231,22
232,16
233,18
234,18
235,20
236,23
237,22
238,28
239,23
240,20
241,13
242,17
243,17
244,15
245,21
246,19
247,26
248,34
249,23
250,32
251,13
252,19
253,12
254,14
255,28
256,18
257,16
258,12
259,17
260,23
261,22
262,15
263,18
264,20
265,19
266,16
267,20
268,19
269,15
270,24
271,13
272,16
273,14
274,14
275,17
276,17
277,13
278,14
279,13
280,13
281,19
282,11
283,17
284,17
285,18
286,9
287,23
288,13
289,15
290,16
291,14
292,14
293,7
294,10
295,13
296,12
297,11
298,19
299,14
300,10
301,9
302,14
303,16
304,8
305,11
306,12
307,10
308,14
309,9
310,9
311,14
312,11
313,13
314,11
315,12
316,7
317,7
318,11
319,6
320,14
321,8
322,12
323,7
324,17
325,6
326,10
327,8
328,8
329,8
330,7
331,11
332,9
333,9
334,5
335,11
336,5
337,4
338,7
339,6
340,11
341,5
342,9
343,9
344,9
345,9
346,5
347,9
348,4
349,7
350,8
351,4
352,5
353,4
354,12
355,6
356,6
357,7
358,6
359,3
360,7
361,5
362,5
363,3
364,4
365,9
366,4
367,6
368,5
369,9
370,3
371,2
372,5
373,2
374,2
375,8
376,3
377,5
378,7
379,6
380,4
381,4
382,4
383,4
384,6
385,4
386,6
387,3
388,5
389,4
390,6
392,4
393,6
394,3
395,3
396,3
397,5
398,1
399,4
400,5
401,4
402,2
403,4
404,3
405,4
406,4
407,5
408,3
410,2
411,6
412,4
413,3
414,3
415,4
416,3
417,3
418,3
419,4
420,1
423,6
424,2
425,2
426,1
428,3
429,3
430,1
431,3
432,3
433,1
434,2
435,3
436,1
439,1
440,2
441,1
442,1
443,1
445,1
446,3
447,4
451,1
453,2
454,1
455,3
457,1
459,1
460,2
461,2
462,2
463,1
465,1
466,1
467,2
468,1
469,1
470,2
472,1
474,2
479,1
480,1
484,2
488,1
489,1
499,2
500,1
501,1
503,2
511,2
513,1
517,1
518,1
524,1
529,2
531,2
532,1
536,1
538,2
544,1
551,1
557,1
560,1
578,1
599,1
644,2
654,1
713,1
